K1 with 1D blocks,,,,,
X-size,Y-size,Time,Gflops,,
8,8,"1,567682","87,670181",,
8,8,"1,536277","89,462364",,
8,8,"1,568419","87,629005",,
8,8,"1,566694","87,725487",,
8,8,"1,567837","87,661491",,
8,8,"1,568198","87,641312",,
8,8,"1,534059","89,591705",,
,,,,,
8,4,"1,866169","73,647636","1,86353","73,7519621"
8,4,"1,864002","73,733261",,
8,4,"1,862184","73,80526",,
8,4,"1,863216","73,764381",,
8,4,"1,862456","73,794456",,
8,4,"1,862687","73,785301",,
8,4,"1,864238","73,723923",,
8,4,"1,863295","73,76123",,
8,4,"1,863668","73,74649",,
8,4,"1,863385","73,757683",,
,,,,,
8,2,"3,531281","38,920422","3,5289766","38,9458465"
8,2,"3,528251","38,953846",,
8,2,"3,528177","38,954662",,
8,2,"3,52549","38,98436",,
8,2,"3,530005","38,93449",,
8,2,"3,529729","38,937538",,
8,2,"3,528433","38,951839",,
8,2,"3,527472","38,962448",,
8,2,"3,530975","38,923798",,
8,2,"3,529953","38,935062",,
,,,,,
16,64,"0,825259","166,540405","0,8258502","166,4214036"
16,64,"0,825572","166,477219",,
16,64,"0,824811","166,63089",,
16,64,"0,828296","165,929749",,
16,64,"0,825823","166,426697",,
16,64,"0,826092","166,372406",,
16,64,"0,825475","166,496796",,
16,64,"0,826694","166,251266",,
16,64,"0,825173","166,557846",,
16,64,"0,825307","166,530762",,
,,,,,
16,32,"0,837112","164,182205","0,8365544","164,2920593"
16,32,"0,83705","164,194519",,
16,32,"0,837134","164,177887",,
16,32,"0,837184","164,168076",,
16,32,"0,83491","164,615204",,
16,32,"0,836317","164,338333",,
16,32,"0,837372","164,131332",,
16,32,"0,835346","164,529312",,
16,32,"0,834366","164,722702",,
16,32,"0,838753","163,861023",,
,,,,,
16,16,"0,868103","158,320999","0,8804378","156,1150298"
16,16,"0,884725","155,346497",,
16,16,"0,878705","156,410812",,
16,16,"0,883819","155,505737",,
16,16,"0,888966","154,605362",,
16,16,"0,885987","155,125305",,
16,16,"0,868216","158,300369",,
16,16,"0,887873","154,795654",,
16,16,"0,886041","155,115845",,
16,16,"0,871943","157,623718",,
,,,,,
16,8,"1,238419","110,979355","1,2379443","111,0221459"
16,8,"1,239637","110,870361",,
16,8,"1,2368","111,124596",,
16,8,"1,235652","111,227859",,
16,8,"1,238221","110,997086",,
16,8,"1,240212","110,818893",,
16,8,"1,234932","111,292755",,
16,8,"1,23799","111,017792",,
16,8,"1,236756","111,128548",,
16,8,"1,240824","110,764214",,
,,,,,
16,4,"1,289904","106,549759","1,287258","106,7733238"
16,4,"1,297108","105,957977",,
16,4,"1,288802","106,640869",,
16,4,"1,286628","106,82106",,
16,4,"1,290467","106,503296",,
16,4,"1,271096","108,126358",,
16,4,"1,289582","106,576401",,
16,4,"1,272784","107,982903",,
16,4,"1,297581","105,919357",,
16,4,"1,288628","106,655258",,
,,,,,
16,2,"1,808542","75,994362","1,8089179","75,9785768"
16,2,"1,809211","75,966255",,
16,2,"1,808887","75,979843",,
16,2,"1,808395","76,000511",,
16,2,"1,808289","76,004967",,
16,2,"1,809155","75,968575",,
16,2,"1,811493","75,870537",,
16,2,"1,807575","76,035004",,
16,2,"1,809653","75,947701",,
16,2,"1,807979","76,018013",,
,,,,,
32,32,"1,157198","118,768745","1,1572391","118,7645409"
32,32,"1,156959","118,793274",,
32,32,"1,156553","118,834961",,
32,32,"1,157135","118,775185",,
32,32,"1,158416","118,643829",,
32,32,"1,156311","118,859818",,
32,32,"1,157617","118,725792",,
32,32,"1,157351","118,753006",,
32,32,"1,157352","118,75293",,
32,32,"1,157499","118,737869",,
,,,,,
32,16,"1,15397","119,100967","1,1541373","119,0837401"
32,16,"1,153803","119,118233",,
32,16,"1,153725","119,126236",,
32,16,"1,153585","119,140762",,
32,16,"1,155982","118,893723",,
32,16,"1,154072","119,090492",,
32,16,"1,154246","119,072456",,
32,16,"1,153944","119,103607",,
32,16,"1,153888","119,10939",,
32,16,"1,154158","119,081535",,
,,,,,
32,8,"1,157297","118,75853","1,1568982","118,7995384"
32,8,"1,15647","118,843483",,
32,8,"1,156601","118,830055",,
32,8,"1,156863","118,803093",,
32,8,"1,155992","118,892662",,
32,8,"1,157949","118,691696",,
32,8,"1,15758","118,729553",,
32,8,"1,156566","118,833679",,
32,8,"1,157298","118,758438",,
32,8,"1,156366","118,854195",,
,,,,,
32,4,"1,261881","108,915894","1,2590329","109,1624283"
32,4,"1,258355","109,2211",,
32,4,"1,257888","109,261719",,
32,4,"1,260407","109,043274",,
32,4,"1,258634","109,196884",,
32,4,"1,257983","109,253448",,
32,4,"1,258204","109,234222",,
32,4,"1,258421","109,215378",,
32,4,"1,260454","109,039261",,
32,4,"1,258102","109,243103",,
,,,,,
32,2,"1,330533","103,296196","1,3329033","103,1137497"
32,2,"1,342196","102,398552",,
32,2,"1,33101","103,259171",,
32,2,"1,330499","103,29882",,
32,2,"1,329984","103,338806",,
32,2,"1,330611","103,290123",,
32,2,"1,342337","102,387817",,
32,2,"1,330948","103,263924",,
32,2,"1,330848","103,271713",,
32,2,"1,330067","103,332375",,
,,,,,
64,16,"1,154639","119,031914","1,1537957","119,1189836"
64,16,"1,153683","119,130592",,
64,16,"1,153623","119,136841",,
64,16,"1,153729","119,125862",,
64,16,"1,153517","119,147774",,
64,16,"1,153537","119,145676",,
64,16,"1,153801","119,118431",,
64,16,"1,153793","119,119263",,
64,16,"1,154148","119,082657",,
64,16,"1,153487","119,150826",,
,,,,,
64,8,"1,15331","119,169167","1,1533705","119,1628868"
64,8,"1,153248","119,175514",,
64,8,"1,153731","119,125694",,
64,8,"1,153433","119,156448",,
64,8,"1,15329","119,171219",,
64,8,"1,153285","119,171715",,
64,8,"1,153369","119,162994",,
64,8,"1,153029","119,198166",,
64,8,"1,153545","119,144829",,
64,8,"1,153465","119,153122",,
,,,,,
64,4,"1,169004","117,569313","1,1677148","117,6993286"
64,4,"1,169017","117,567978",,
64,4,"1,16708","117,763077",,
64,4,"1,165569","117,915756",,
64,4,"1,169601","117,509224",,
64,4,"1,165074","117,965881",,
64,4,"1,167403","117,730507",,
64,4,"1,166728","117,798622",,
64,4,"1,170541","117,414932",,
64,4,"1,167131","117,757996",,
,,,,,
64,2,"1,871454","73,439674","1,8715725","73,4350197"
64,2,"1,871801","73,426048",,
64,2,"1,871471","73,439011",,
64,2,"1,872016","73,417625",,
64,2,"1,871009","73,457123",,
64,2,"1,871459","73,439468",,
64,2,"1,87178","73,426865",,
64,2,"1,872819","73,386124",,
64,2,"1,870709","73,468918",,
64,2,"1,871207","73,449341",,
,,,,,
128,8,"1,153038","119,197243","1,1536734","119,1316415"
128,8,"1,153651","119,133881",,
128,8,"1,153358","119,164223",,
128,8,"1,153813","119,117172",,
128,8,"1,153101","119,190765",,
128,8,"1,155552","118,937897",,
128,8,"1,153217","119,178749",,
128,8,"1,153423","119,157494",,
128,8,"1,153461","119,153488",,
128,8,"1,15412","119,085503",,
,,,,,
128,4,"1,153803","119,118248","1,1536804","119,130877"
128,4,"1,153937","119,104401",,
128,4,"1,153497","119,149773",,
128,4,"1,153464","119,153267",,
